OrderID,OrderDate,Region,Product,Quantity,UnitPrice,Salesperson,Channel
ORD1064,2024-01-04,North,Widget B,3,39.8,Anna,Online
ORD1065,2024-02-16,East,Widget A,2,25.05,Daniel,Retail
ORD1066,2024-02-25,North,Widget A,4,27.06,Boris,Online
ORD1067,2024-01-06,East,Widget C,2,14.81,Boris,Online
ORD1068,2024-01-31,North,Widget A,2,23.67,Boris,Retail
ORD1069,2024-01-11,South,Widget B,5,38.69,Carla,Retail
ORD1070,2024-01-23,North,Widget A,4,25.03,Anna,Online
ORD1071,2024-01-11,South,Widget B,4,40.25,Anna,Online
ORD1072,2024-01-30,South,Service X,2,116.54,Daniel,Retail
ORD1073,2024-03-09,East,Widget B,6,41.51,Daniel,Online
ORD1074,2024-01-05,East,Widget A,3,24.19,Boris,Online
ORD1075,2024-02-01,East,Widget A,3,25.06,Anna,Retail
ORD1076,2024-02-06,South,Widget B,5,40.34,Daniel,Online
ORD1077,2024-04-14,East,Widget A,7,25.11,Boris,Retail
ORD1078,2024-01-18,West,Widget B,5,40.04,Anna,Online
ORD1079,2024-01-20,East,Widget A,4,27.1,Carla,Online
ORD1080,2024-01-06,West,Widget B,5,41.66,Boris,Online
ORD1081,2024-02-20,South,Widget C,3,14.36,Anna,Online
ORD1082,2024-01-21,West,Widget A,6,24.03,Carla,Partner
ORD1083,2024-01-17,North,Widget B,4,37.51,Boris,Retail
ORD1084,2024-01-01,West,Service X,5,131.29,Boris,Online
ORD1085,2024-01-05,West,Service X,2,128.07,Boris,Retail
ORD1086,2024-01-06,West,Widget C,4,15.8,Anna,Retail
ORD1087,2024-01-05,South,Widget C,6,14.56,Carla,Online
ORD1088,2024-01-08,South,Widget B,5,37.97,Daniel,Online
ORD1089,2024-02-02,West,Widget B,3,41.03,Boris,Retail
ORD1090,2024-01-10,West,Widget A,2,28.21,Boris,Online
ORD1091,2024-02-20,East,Widget B,4,37.79,Daniel,Partner
ORD1092,2024-04-26,South,Widget A,3,25.61,Anna,Online
ORD1093,2024-02-02,South,Widget A,6,24.03,Daniel,Online
ORD1094,2024-01-12,East,Widget C,4,15.44,Carla,Retail
ORD1095,2024-02-23,West,Widget A,8,24.61,Carla,Online
ORD1096,2024-02-09,South,Widget B,5,39.92,Boris,Online
ORD1097,2024-01-09,South,Widget B,4,42.21,Boris,Retail
ORD1098,2024-06-15,East,Widget A,2,22.96,Anna,Online
ORD1099,2024-01-28,East,Widget A,2,25.69,Carla,Partner
ORD1100,2024-02-06,East,Widget C,4,14.53,Daniel,Partner
ORD1101,2024-01-09,North,Widget C,3,15.02,Daniel,Retail
ORD1102,2024-01-15,East,Widget B,5,41.22,Carla,Retail
ORD1103,2024-05-04,North,Widget B,4,36.96,Anna,Retail
ORD1104,2024-01-23,North,Widget C,5,14.01,Boris,Partner
ORD1105,2024-02-26,East,Widget C,7,14.83,Boris,Online
ORD1106,2024-02-18,West,Widget A,3,23.65,Daniel,Online
ORD1107,2024-01-22,West,Widget C,2,15.79,Carla,Retail
ORD1108,2024-01-02,East,Widget A,2,23.7,Carla,Online
ORD1109,2024-02-03,West,Widget B,6,42.56,Carla,Partner
ORD1110,2024-01-01,West,Widget B,7,41.84,Carla,Online
ORD1111,2024-01-04,South,Widget B,2,40.63,Anna,Online
ORD1112,2024-01-14,South,Widget A,1,22.58,Daniel,Online
ORD1113,2024-05-05,West,Widget A,8,23.49,Daniel,Partner
ORD1114,2024-02-11,East,Widget B,2,38.75,Carla,Retail
ORD1115,2024-03-05,East,Widget A,4,24.31,Carla,Retail
ORD1116,2024-02-17,North,Widget C,3,16.16,Boris,Online
ORD1117,2024-01-20,South,Widget B,1,43.59,Boris,Partner
ORD1118,2024-03-07,East,Widget B,2,37.24,Anna,Online
ORD1119,2024-01-31,West,Widget A,4,24.09,Boris,Retail
ORD1120,2024-03-10,South,Widget C,8,15.38,Boris,Online
ORD1121,2024-02-18,North,Widget C,4,15.64,Daniel,Online
ORD1122,2024-02-24,North,Widget C,3,15.61,Anna,Retail
ORD1123,2024-01-05,South,Widget A,3,23.14,Carla,Retail
ORD1124,2024-05-11,South,Widget B,5,42.15,Boris,Retail
ORD1125,2024-01-26,North,Widget A,7,23.72,Anna,Online
ORD1126,2024-01-16,South,Widget C,5,14.08,Carla,Retail
ORD1127,2024-01-15,West,Widget C,2,14.87,Carla,Partner
ORD1128,2024-01-07,South,Service X,4,119.73,Daniel,Retail
ORD1129,2024-02-24,North,Widget C,5,15.18,Anna,Partner
ORD1130,2024-02-29,West,Widget C,4,15.15,Boris,Online
ORD1131,2024-01-01,East,Widget B,3,41.42,Daniel,Online
ORD1132,2024-02-04,South,Widget C,3,14.87,Boris,Partner
ORD1133,2024-02-21,East,Widget C,6,14.48,Boris,Online
ORD1134,2024-01-28,East,Widget C,2,15.16,Anna,Partner
ORD1135,2024-01-04,West,Widget B,4,35.92,Carla,Online
ORD1136,2024-01-08,North,Widget B,2,43.62,Daniel,Partner
ORD1137,2024-02-09,West,Widget B,6,40.72,Carla,Retail
ORD1138,2024-02-22,North,Widget A,2,24.6,Carla,Online
ORD1139,2024-02-24,West,Widget B,1,40.85,Daniel,Retail
ORD1140,2024-02-20,North,Service X,5,126.55,Carla,Online
ORD1141,2024-03-15,East,Widget C,6,14.92,Boris,Online
ORD1142,2024-03-23,West,Widget B,4,42.95,Carla,Online
ORD1143,2024-02-29,South,Widget B,5,42.76,Anna,Online
ORD1144,2024-03-22,South,Widget B,3,40.75,Boris,Partner
ORD1145,2024-01-01,East,Widget B,3,39.83,Boris,Online
ORD1146,2024-01-08,East,Widget A,5,24.56,Anna,Retail
ORD1147,2024-01-18,East,Widget C,6,14.74,Boris,Online
ORD1148,2024-01-31,West,Widget A,4,24.26,Boris,Online
ORD1149,2024-01-27,East,Widget A,4,25.01,Carla,Online
ORD1150,2024-02-13,North,Widget A,3,25.35,Daniel,Online
ORD1151,2024-05-12,South,Widget C,3,14.51,Boris,Retail
ORD1152,2024-03-22,East,Widget A,6,24.04,Daniel,Online
ORD1153,2024-02-07,South,Widget C,4,15.22,Carla,Partner
ORD1154,2024-01-21,South,Widget C,6,14.87,Carla,Retail
ORD1155,2024-02-07,East,Widget B,5,40.03,Carla,Retail
ORD1156,2024-02-14,East,Widget B,5,37.69,Boris,Retail
ORD1157,2024-01-12,South,Widget B,7,36.93,Anna,Partner
ORD1158,2024-01-12,West,Widget A,3,22.88,Daniel,Retail
ORD1159,2024-04-16,East,Widget B,3,39.8,Anna,Online
ORD1160,2024-01-06,North,Widget C,4,13.81,Daniel,Online
ORD1161,2024-01-04,West,Widget B,3,40.88,Boris,Retail
ORD1162,2024-03-27,North,Widget A,6,24.1,Carla,Partner
ORD1163,2024-02-14,West,Widget C,3,15.67,Anna,Retail
ORD1164,2024-03-20,North,Widget A,1,26.53,Daniel,Retail
ORD1165,2024-01-12,East,Widget A,2,27.03,Carla,Retail
ORD1166,2024-01-21,South,Widget C,4,15.43,Carla,Retail
ORD1167,2024-01-13,East,Widget B,4,43.26,Anna,Retail
ORD1168,2024-01-03,West,Widget A,6,25.87,Boris,Online
ORD1169,2024-01-17,East,Widget A,5,27.43,Boris,Online
ORD1170,2024-02-26,South,Widget C,5,15.91,Anna,Online
ORD1171,2024-01-12,West,Widget C,3,15.11,Anna,Online
ORD1172,2024-01-15,South,Widget B,3,38.3,Carla,Partner
ORD1173,2024-03-23,North,Widget C,5,13.8,Boris,Retail
ORD1174,2024-01-20,West,Widget C,4,14.11,Boris,Online
ORD1175,2024-05-06,East,Service X,5,117.88,Daniel,Retail
ORD1176,2024-01-08,East,Widget B,3,40.11,Daniel,Online
ORD1177,2024-02-06,West,Widget C,3,15.4,Carla,Retail
ORD1178,2024-02-12,North,Widget A,3,24.3,Anna,Retail
ORD1179,2024-01-13,North,Widget C,4,14.69,Daniel,Online
ORD1180,2024-02-09,East,Widget B,4,37.66,Boris,Online
ORD1181,2024-01-20,West,Widget A,3,22.75,Anna,Retail
ORD1182,2024-01-06,East,Widget A,1,23.76,Daniel,Retail
ORD1183,2024-01-28,South,Widget A,3,24.96,Boris,Online
ORD1184,2024-01-19,South,Widget B,8,39.82,Carla,Online
ORD1185,2024-01-20,South,Widget A,4,26.15,Daniel,Retail
ORD1186,2024-02-15,North,Widget A,3,24.0,Boris,Partner
ORD1187,2024-05-21,West,Widget C,5,15.97,Boris,Online
ORD1188,2024-01-04,West,Widget A,4,25.35,Boris,Online
ORD1189,2024-05-08,South,Widget C,2,14.31,Carla,Partner
ORD1190,2024-02-06,East,Widget C,4,14.22,Daniel,Online
ORD1191,2024-01-08,South,Service X,3,108.2,Anna,Online
ORD1192,2024-03-08,West,Widget C,6,15.5,Carla,Online
ORD1193,2024-02-25,South,Widget B,4,42.35,Boris,Online
ORD1194,2024-01-29,West,Widget C,4,16.36,Carla,Retail
ORD1195,2024-03-24,South,Widget A,6,25.78,Daniel,Retail
ORD1196,2024-01-10,East,Widget C,3,15.21,Boris,Retail
ORD1197,2024-03-14,West,Widget A,8,26.82,Carla,Online
ORD1198,2024-02-21,West,Widget B,4,36.95,Anna,Online
ORD1199,2024-01-21,West,Widget B,3,42.53,Daniel,Retail
ORD1200,2024-02-07,East,Widget C,4,14.87,Boris,Partner
ORD1201,2024-01-10,West,Widget B,2,39.09,Anna,Online
ORD1202,2024-01-04,North,Widget B,8,42.29,Carla,Retail
ORD1203,2024-04-30,North,Widget B,5,39.39,Boris,Retail
ORD1204,2024-01-15,West,Widget A,5,23.54,Boris,Retail
ORD1205,2024-01-03,West,Service X,2,102.77,Anna,Online
ORD1206,2024-02-07,North,Widget C,3,14.92,Daniel,Online
ORD1207,2024-01-13,West,Service X,4,118.78,Anna,Online
ORD1208,2024-01-02,North,Service X,3,124.42,Boris,Retail
ORD1209,2024-02-01,North,Widget C,7,14.79,Carla,Online
ORD1210,2024-02-03,South,Service X,3,117.44,Boris,Online
ORD1211,2024-02-16,East,Service X,4,116.75,Anna,Retail
ORD1212,2024-01-04,South,Widget B,5,43.54,Boris,Online
ORD1213,2024-03-02,North,Widget B,7,37.93,Daniel,Retail
ORD1214,2024-01-10,West,Widget C,6,14.95,Daniel,Online
ORD1215,2024-01-20,West,Widget B,3,38.53,Anna,Partner
ORD1216,2024-01-10,East,Widget A,7,25.61,Daniel,Online
ORD1217,2024-02-08,South,Widget C,4,14.37,Daniel,Partner
ORD1218,2024-02-12,North,Widget B,3,40.05,Daniel,Partner
ORD1219,2024-01-27,North,Widget C,5,16.06,Anna,Retail
ORD1220,2024-01-30,East,Widget C,3,15.2,Boris,Online
ORD1221,2024-02-27,West,Service X,4,121.83,Daniel,Online
ORD1222,2024-01-08,East,Widget C,2,14.71,Carla,Online
ORD1223,2024-02-08,South,Widget B,5,38.16,Anna,Retail
ORD1224,2024-01-16,East,Widget A,3,24.36,Carla,Online
ORD1225,2024-03-21,North,Widget B,3,41.56,Daniel,Partner
ORD1226,2024-03-22,West,Widget C,6,13.72,Daniel,Online
ORD1227,2024-01-06,South,Widget C,2,13.29,Daniel,Retail
ORD1228,2024-04-10,South,Widget C,5,15.67,Daniel,Retail
ORD1229,2024-01-24,North,Widget A,2,24.34,Anna,Online
ORD1230,2024-01-26,South,Widget B,4,41.9,Anna,Partner
ORD1231,2024-02-09,East,Widget C,3,16.28,Boris,Partner
ORD1232,2024-01-30,North,Widget C,3,15.2,Anna,Online
ORD1233,2024-05-04,North,Widget C,3,15.48,Carla,Retail
ORD1234,2024-03-30,South,Widget B,5,39.51,Anna,Partner
ORD1235,2024-01-13,South,Widget B,5,38.31,Anna,Online
ORD1236,2024-01-02,North,Widget A,4,23.12,Daniel,Retail
ORD1237,2024-01-31,West,Widget A,5,25.95,Daniel,Retail
ORD1238,2024-01-14,West,Widget B,3,40.21,Anna,Online
ORD1239,2024-02-15,North,Widget B,4,35.68,Daniel,Partner
ORD1240,2024-02-20,East,Widget A,4,24.4,Anna,Retail
ORD1241,2024-01-02,West,Widget A,4,25.18,Carla,Online
ORD1242,2024-02-25,North,Widget A,6,25.26,Daniel,Online
ORD1243,2024-02-10,East,Widget B,7,41.52,Carla,Online
ORD1244,2024-01-06,East,Widget A,7,26.25,Daniel,Online
ORD1245,2024-01-20,South,Widget B,4,38.66,Carla,Retail
ORD1246,2024-02-18,East,Widget B,3,39.38,Daniel,Online
ORD1247,2024-01-30,South,Widget A,4,25.97,Daniel,Retail
ORD1248,2024-01-19,North,Service X,3,117.16,Carla,Retail
ORD1249,2024-01-06,North,Widget A,4,24.98,Anna,Online
ORD1250,2024-01-14,West,Widget A,7,24.87,Anna,Partner
ORD1251,2024-02-29,West,Widget B,3,40.9,Carla,Online
ORD1252,2024-01-15,South,Widget A,2,22.53,Daniel,Retail
ORD1253,2024-11-22,North,Widget C,4,15.56,Boris,Retail
ORD1254,2024-02-08,North,Widget B,1,45.29,Carla,Online
ORD1255,2024-02-05,East,Widget B,2,36.99,Boris,Retail
ORD1256,2024-01-06,West,Widget A,6,25.32,Boris,Online
ORD1257,2024-01-30,East,Widget B,7,42.09,Carla,Retail
ORD1258,2024-02-04,West,Widget A,3,25.74,Boris,Online
ORD1259,2024-02-22,West,Service X,1,102.36,Carla,Retail
ORD1260,2024-01-06,South,Widget B,3,38.93,Carla,Online
ORD1261,2024-01-17,East,Widget A,1,26.07,Daniel,Retail
ORD1262,2024-02-12,West,Widget C,3,14.88,Boris,Online
ORD1263,2024-01-15,East,Widget B,3,38.51,Carla,Retail
ORD1264,2024-01-15,North,Widget B,3,39.68,Carla,Online
ORD1265,2024-03-20,South,Widget A,2,24.11,Boris,Online
ORD1266,2024-01-26,North,Widget B,5,40.02,Boris,Online
ORD1267,2024-03-09,East,Widget B,4,42.01,Carla,Retail
ORD1268,2024-01-30,North,Widget C,3,15.25,Carla,Online
ORD1269,2024-01-21,North,Widget A,7,23.82,Daniel,Retail
ORD1270,2024-01-16,North,Widget B,6,39.55,Daniel,Retail
ORD1271,2024-01-05,North,Widget B,5,41.51,Carla,Retail
ORD1272,2024-05-15,West,Service X,3,123.69,Boris,Online
ORD1273,2024-01-28,South,Widget C,3,15.9,Carla,Online
ORD1274,2024-01-03,West,Widget B,5,39.45,Anna,Retail
ORD1275,2024-01-02,South,Service X,4,122.19,Daniel,Retail
ORD1276,2024-01-09,West,Widget A,2,25.05,Daniel,Online
ORD1277,2024-02-16,North,Service X,4,113.99,Carla,Online
ORD1278,2024-01-31,East,Widget A,5,25.89,Daniel,Online
ORD1279,2024-03-18,East,Widget A,3,25.9,Carla,Online
ORD1280,2024-01-14,West,Widget B,3,41.98,Carla,Partner
ORD1281,2024-02-15,East,Widget C,3,13.99,Carla,Online
ORD1282,2024-01-03,North,Widget A,4,25.67,Daniel,Retail
ORD1283,2024-01-10,East,Widget B,6,40.1,Daniel,Online
ORD1284,2024-02-14,South,Widget A,6,23.96,Boris,Online
ORD1285,2024-01-15,West,Widget B,7,44.18,Carla,Online
ORD1286,2024-01-08,South,Widget A,2,24.46,Boris,Online
ORD1287,2024-02-10,South,Widget B,5,41.18,Carla,Online
ORD1288,2024-02-08,West,Widget A,8,27.26,Carla,Online
ORD1289,2024-01-25,West,Service X,8,118.85,Anna,Online
ORD1290,2024-01-16,West,Widget C,2,14.99,Anna,Online
ORD1291,2024-04-02,North,Service X,6,117.08,Boris,Partner
ORD1292,2024-04-30,East,Widget B,4,37.58,Boris,Partner
ORD1293,2024-05-26,North,Widget C,4,15.55,Daniel,Online
ORD1294,2024-04-30,East,Widget B,5,39.62,Daniel,Retail
ORD1295,2024-03-28,East,Widget A,3,26.15,Boris,Online
ORD1296,2024-01-03,North,Service X,5,126.22,Boris,Retail
ORD1297,2024-01-29,South,Widget A,5,25.93,Anna,Online
ORD1298,2024-01-30,North,Service X,3,124.08,Carla,Online
ORD1299,2024-02-26,East,Widget C,4,14.14,Daniel,Partner
ORD1300,2024-03-06,West,Widget C,4,16.35,Carla,Online
ORD1301,2024-01-30,South,Widget B,5,40.77,Anna,Online
ORD1302,2024-01-29,East,Widget B,10,38.93,Anna,Online
ORD1303,2024-02-13,North,Widget A,5,25.68,Boris,Online
ORD1304,2024-03-02,East,Widget B,1,36.96,Carla,Retail
ORD1305,2024-02-18,East,Widget B,4,39.29,Daniel,Retail
ORD1306,2024-02-02,South,Widget A,3,25.87,Carla,Retail
ORD1307,2024-01-03,South,Service X,5,117.65,Anna,Retail
ORD1308,2024-01-14,South,Widget B,5,38.59,Daniel,Online
ORD1309,2024-02-15,North,Widget A,5,26.16,Carla,Online
ORD1310,2024-02-25,North,Widget A,4,23.34,Boris,Retail
ORD1311,2024-06-03,East,Widget A,4,25.1,Carla,Online
ORD1312,2024-01-27,South,Widget A,4,24.32,Daniel,Online
ORD1313,2024-01-04,East,Widget B,5,39.46,Boris,Online
ORD1314,2024-01-13,East,Widget C,3,14.84,Boris,Retail
ORD1315,2024-01-19,North,Widget B,5,40.55,Anna,Retail
ORD1316,2024-01-09,East,Service X,2,114.81,Carla,Online
ORD1317,2024-03-06,West,Widget C,5,14.89,Anna,Online
ORD1318,2024-02-20,North,Widget A,3,24.02,Anna,Online
ORD1319,2024-04-06,South,Widget B,4,38.62,Carla,Retail
ORD1320,2024-03-06,West,Service X,5,115.42,Boris,Online
ORD1321,2024-01-10,West,Widget A,4,25.05,Carla,Online
ORD1322,2024-02-09,North,Widget C,5,14.59,Carla,Retail
ORD1323,2024-01-09,East,Widget B,2,41.72,Daniel,Online
ORD1324,2024-02-27,South,Widget C,2,15.41,Carla,Retail
ORD1325,2024-03-11,South,Widget C,1,14.22,Daniel,Online
ORD1326,2024-01-29,East,Widget B,7,40.17,Carla,Online
ORD1327,2024-01-16,West,Widget A,6,22.23,Daniel,Retail
ORD1328,2024-01-24,East,Widget A,4,25.14,Boris,Retail
ORD1329,2024-01-17,South,Widget C,4,16.31,Boris,Retail
ORD1330,2024-02-07,North,Widget A,3,25.14,Anna,Online
ORD1331,2024-02-26,West,Widget C,4,15.33,Anna,Partner
ORD1332,2024-02-09,East,Widget A,3,25.54,Carla,Online
ORD1333,2024-02-27,East,Widget C,8,14.4,Boris,Online
ORD1334,2024-01-01,East,Widget B,7,40.67,Anna,Online
ORD1335,2024-01-01,South,Widget B,1,39.4,Daniel,Online
ORD1336,2024-01-03,West,Widget B,3,38.79,Boris,Retail
ORD1337,2024-06-30,North,Service X,1,121.27,Carla,Online
ORD1338,2024-01-18,South,Widget A,6,25.81,Anna,Online
ORD1339,2024-02-09,North,Widget A,1,23.58,Daniel,Retail
ORD1340,2024-02-05,West,Widget C,4,16.05,Carla,Retail
ORD1341,2024-01-18,South,Widget A,5,25.87,Anna,Retail
ORD1342,2024-01-07,South,Widget C,3,14.43,Boris,Partner
ORD1343,2024-02-21,East,Widget B,3,38.63,Carla,Retail
ORD1344,2024-03-04,South,Widget C,5,15.45,Anna,Retail
ORD1345,2024-03-10,North,Widget C,7,14.29,Daniel,Online
ORD1346,2024-01-13,North,Widget C,3,14.07,Daniel,Online
ORD1347,2024-01-29,East,Widget B,3,42.33,Anna,Retail
ORD1348,2024-01-03,North,Service X,6,119.42,Anna,Partner
ORD1349,2024-03-29,West,Widget B,1,38.99,Daniel,Retail
ORD1350,2024-01-11,North,Widget C,3,15.29,Carla,Partner
ORD1351,2024-01-22,South,Widget B,2,42.18,Carla,Online
ORD1352,2024-02-19,South,Widget A,6,26.4,Daniel,Partner
ORD1353,2024-01-29,West,Widget C,3,15.41,Carla,Online
ORD1354,2024-01-28,East,Widget C,3,15.92,Carla,Online
ORD1355,2024-01-02,East,Widget B,3,43.37,Anna,Retail
ORD1356,2024-02-18,West,Widget C,5,13.76,Daniel,Online
ORD1357,2024-02-23,North,Widget B,2,41.08,Boris,Online
ORD1358,2024-02-07,West,Widget C,5,14.33,Carla,Online
ORD1359,2024-01-09,North,Widget C,5,15.75,Daniel,Online
ORD1360,2024-05-28,West,Widget C,3,14.87,Boris,Partner
ORD1361,2024-01-04,South,Widget B,3,36.9,Daniel,Online
ORD1362,2024-03-05,South,Widget A,2,24.04,Anna,Online
ORD1363,2024-05-28,North,Widget C,4,14.03,Boris,Online
ORD1364,2024-01-15,East,Widget C,3,15.26,Daniel,Online
ORD1365,2024-03-24,South,Service X,4,113.98,Boris,Retail
ORD1366,2024-02-04,East,Widget C,7,14.96,Daniel,Retail
ORD1367,2024-02-02,East,Widget C,3,13.95,Carla,Online
ORD1368,2024-02-27,North,Widget A,5,23.46,Carla,Partner
ORD1369,2024-02-24,South,Widget A,5,25.83,Daniel,Online
ORD1370,2024-04-14,West,Widget B,3,38.56,Anna,Retail
ORD1371,2024-02-04,South,Service X,1,118.62,Carla,Online
ORD1372,2024-03-23,North,Widget A,1,25.37,Daniel,Online
ORD1373,2024-01-11,South,Widget B,3,40.75,Carla,Online
ORD1374,2024-01-14,North,Widget A,5,21.57,Anna,Retail
ORD1375,2024-04-19,South,Widget C,4,14.63,Anna,Retail
ORD1376,2024-02-08,West,Widget B,2,40.11,Daniel,Partner
ORD1377,2024-08-13,West,Widget C,3,14.62,Anna,Online
ORD1378,2024-02-07,South,Widget A,5,24.09,Anna,Partner
ORD1379,2024-03-13,West,Widget B,4,41.52,Anna,Online
ORD1380,2024-01-17,North,Service X,6,121.99,Boris,Partner
ORD1381,2024-01-17,South,Widget C,5,15.4,Boris,Online
ORD1382,2024-01-24,South,Widget A,6,23.63,Boris,Online
ORD1383,2024-04-07,North,Widget A,3,25.37,Daniel,Retail
ORD1384,2024-04-03,West,Widget C,2,15.48,Boris,Retail
ORD1385,2024-03-18,South,Widget C,3,14.16,Boris,Online
ORD1386,2024-01-09,South,Widget B,4,39.87,Boris,Online
ORD1387,2024-02-22,East,Widget B,3,36.3,Daniel,Retail
ORD1388,2024-02-12,West,Widget C,5,14.91,Anna,Online
ORD1389,2024-01-18,North,Widget B,7,40.19,Carla,Online
ORD1390,2024-02-03,South,Service X,6,117.52,Daniel,Partner
ORD1391,2024-02-04,North,Widget C,4,16.42,Daniel,Online
ORD1392,2024-03-06,South,Widget A,2,26.54,Boris,Online
ORD1393,2024-01-07,East,Widget C,3,14.95,Daniel,Online
ORD1394,2024-04-18,East,Widget B,1,35.02,Boris,Retail
ORD1395,2024-02-08,South,Service X,3,116.05,Carla,Retail
ORD1396,2024-04-21,East,Widget A,6,23.29,Anna,Online
ORD1397,2024-02-25,East,Widget B,3,38.58,Daniel,Online
ORD1398,2024-03-11,North,Widget B,4,43.51,Anna,Online
ORD1399,2024-03-13,North,Widget B,3,40.04,Boris,Retail
ORD1400,2024-01-31,East,Widget B,5,39.54,Daniel,Retail
ORD1401,2024-01-28,South,Widget A,4,26.46,Daniel,Online
ORD1402,2024-01-13,North,Service X,7,128.08,Carla,Online
ORD1403,2024-03-01,West,Widget A,4,24.41,Boris,Retail
ORD1404,2024-01-11,South,Widget B,3,42.99,Boris,Retail
ORD1405,2024-02-16,South,Widget C,2,14.64,Daniel,Online
ORD1406,2024-01-11,North,Widget C,3,14.55,Carla,Online
ORD1407,2024-01-01,West,Widget C,5,14.92,Daniel,Online
ORD1408,2024-05-25,East,Widget A,5,24.88,Boris,Online
ORD1409,2024-01-11,South,Widget A,2,24.25,Daniel,Online
ORD1410,2024-01-17,West,Widget A,3,21.37,Carla,Online
ORD1411,2024-02-17,East,Widget A,4,24.53,Anna,Online
ORD1412,2024-01-18,South,Widget C,2,16.18,Anna,Online
